,Word,Lemma,POSTag,Shape
3899,flow,flow,NN,xxxx
3900,through,through,RB,xxxx
3901,as,as,IN,xx
3902,we,-PRON-,PRP,xx
3903,get,get,VBP,xxx
3904,to,to,IN,xx
3905,the,the,DT,xxx
3906,back,back,JJ,xxxx
3907,half,half,NN,xxxx
3908,for,for,IN,xxx
3909,the,the,DT,xxx
3910,year,year,NN,xxxx
3911,"
","
",_SP,"
"
3912,First,first,RB,Xxxxx
3913,of,of,IN,xx
3914,all,all,DT,xxx
3915,",",",",",",","
3916,Iâ€,Iâ€,NNP,Xx€
3917,™,™,CD,™
3918,ll,ll,NNP,xx
3919,let,let,VB,xxx
3920,Bob,Bob,NNP,Xxx
3921,talk,talk,VB,xxxx
3922,a,a,DT,x
3923,little,little,JJ,xxxx
3924,bit,bit,NN,xxx
3925,about,about,RB,xxxx
3926,with,with,IN,xxxx
3927,changing,change,VBG,xxxx
3928,on,on,IN,xx
3929,the,the,DT,xxx
3930,Professional,professional,JJ,Xxxxx
3931,side,side,NN,xxxx
3932,of,of,IN,xx
3933,the,the,DT,xxx
3934,business,business,NN,xxxx
3935,"
","
",_SP,"
"
3936,I,-PRON-,PRP,X
3937,think,think,VBP,xxxx
3938,it,-PRON-,PRP,xx
3939,'s,be,VBZ,'x
3940,changing,change,VBG,xxxx
3941,pretty,pretty,RB,xxxx
3942,dramatically,dramatically,RB,xxxx
3943,"
","
",_SP,"
"
3944,Bob,Bob,NNP,Xxx
3945,",",",",",",","
3946,can,can,MD,xxx
3947,you,-PRON-,PRP,xxx
3948,talk,talk,VB,xxxx
3949,about,about,IN,xxxx
3950,how,how,WRB,xxx
3951,you,-PRON-,PRP,xxx
3952,are,be,VBP,xxx
3953,pulling,pull,VBG,xxxx
3954,together,together,RB,xxxx
3955,the,the,DT,xxx
3956,Professional,professional,JJ,Xxxxx
3957,side,side,NN,xxxx
3958,"
","
",_SP,"
"
3959,And,and,CC,Xxx
3960,Simeon,Simeon,NNP,Xxxxx
3961,",",",",",",","
3962,let,let,VB,xxx
3963,me,-PRON-,PRP,xx
3964,get,get,VB,xxx
3965,to,to,IN,xx
3966,your,-PRON-,PRP$,xxxx
3967,second,second,JJ,xxxx
3968,question,question,NN,xxxx
3969,",",",",",",","
3970,which,which,WDT,xxxx
3971,was,be,VBD,xxx
3972,around,around,IN,xxxx
3973,the,the,DT,xxx
3974,pacing,pacing,NN,xxxx
3975,of,of,IN,xx
3976,the,the,DT,xxx
3977,investment,investment,NN,xxxx
3978,"
","
",_SP,"
"
3979,If,if,IN,Xx
3980,you,-PRON-,PRP,xxx
3981,think,think,VBP,xxxx
3982,back,back,RB,xxxx
3983,to,to,IN,xx
3984,what,what,WP,xxxx
3985,we,-PRON-,PRP,xx
3986,showed,show,VBD,xxxx
3987,last,last,JJ,xxxx
3988,November,November,NNP,Xxxxx
3989,",",",",",",","
3990,Company,Company,NNP,Xxxxx
3991,lacked,lack,VBD,xxxx
3992,focus,focus,NN,xxxx
3993,on,on,IN,xx
3994,the,the,DT,xxx
3995,customer,customer,NN,xxxx
3996,",",",",",",","
3997,no,no,DT,xx
3998,cohesive,cohesive,JJ,xxxx
3999,strategy,strategy,NN,xxxx
4000,inability,inability,NN,xxxx
4001,to,to,TO,xx
4002,execute,execute,VB,xxxx
4003,notable,notable,JJ,xxxx
4004,capability,capability,NN,xxxx
4005,gaps,gap,NNS,xxxx
4006,on,on,IN,xx
4007,the,the,DT,xxx
4008,leadership,leadership,NN,xxxx
4009,team,team,NN,xxxx
4010,"
","
",_SP,"
"
4011,But,but,CC,Xxx
4012,as,as,IN,xx
4013,we,-PRON-,PRP,xx
4014,laid,lay,VBD,xxxx
4015,things,thing,NNS,xxxx
4016,out,out,RP,xxx
4017,and,and,CC,xxx
4018,constructed,construct,VBD,xxxx
4019,the,the,DT,xxx
4020,new,new,JJ,xxx
4021,leadership,leadership,NN,xxxx
4022,team,team,NN,xxxx
4023,from,from,IN,xxxx
4024,Bob,Bob,NNP,Xxx
4025,to,to,IN,xx
4026,Tom,Tom,NNP,Xxx
4027,Okray,Okray,NNP,Xxxxx
4028,to,to,IN,xx
4029,Leslie,Leslie,NNP,Xxxxx
4030,Keating,Keating,NNP,Xxxxx
4031,is,be,VBZ,xx
4032,come,come,VBN,xxxx
4033,into,into,IN,xxxx
4034,our,-PRON-,PRP$,xxx
4035,supply,supply,NN,xxxx
4036,chain,chain,NN,xxxx
4037,to,to,IN,xx
4038,Mike,Mike,NNP,Xxxx
4039,Roderick,Roderick,NNP,Xxxxx
4040,",",",",",",","
4041,I,-PRON-,PRP,X
4042,mean,mean,VBP,xxxx
4043,we,-PRON-,PRP,xx
4044,really,really,RB,xxxx
4045,saw,see,VBD,xxx
4046,an,an,DT,xx
4047,opportunity,opportunity,NN,xxxx
4048,to,to,TO,xx
4049,drive,drive,VB,xxxx
4050,the,the,DT,xxx
4051,productivity,productivity,NN,xxxx
4052,agenda,agenda,NN,xxxx
4053,faster,faster,RBR,xxxx
4054,"
","
",_SP,"
"
4055,And,and,CC,Xxx
4056,the,the,DT,xxx
4057,opportunity,opportunity,NN,xxxx
4058,there,there,EX,xxxx
4059,is,be,VBZ,xx
4060,significant,significant,JJ,xxxx
4061,"
","
",_SP,"
"
4062,We,-PRON-,PRP,Xx
4063,really,really,RB,xxxx
4064,see,see,VBP,xxx
4065,that,that,IN,xxxx
4066,a,a,DT,x
4067,line,line,NN,xxxx
4068,of,of,IN,xx
4069,sight,sight,NN,xxxx
4070,to,to,IN,xx
4071,the,the,DT,xxx
4072,entirety,entirety,NN,xxxx
4073,of,of,IN,xx
4074,the,the,DT,xxx
4075,750,750,CD,ddd
4076,million,million,CD,xxxx
4077,over,over,IN,xxxx
4078,the,the,DT,xxx
4079,four,four,CD,xxxx
4080,years,year,NNS,xxxx
4081,",",",",",",","
4082,it,-PRON-,PRP,xx
4083,'s,be,VBZ,'x
4084,in,in,IN,xx
4085,the,the,DT,xxx
4086,three,three,CD,xxxx
4087,buckets,bucket,NNS,xxxx
4088,that,that,WDT,xxxx
4089,we,-PRON-,PRP,xx
4090,described,describe,VBD,xxxx
4091,in,in,IN,xx
4092,the,the,DT,xxx
4093,prepared,prepared,JJ,xxxx
4094,remarks,remark,NNS,xxxx
4095,"
","
",_SP,"
"
4096,We,-PRON-,PRP,Xx
4097,plan,plan,VBP,xxxx
4098,it,-PRON-,PRP,xx
4099,strategically,strategically,RB,xxxx
4100,",",",",",",","
4101,working,work,VBG,xxxx
4102,from,from,IN,xxxx
4103,the,the,DT,xxx
4104,customer,customer,NN,xxxx
4105,back,back,RB,xxxx
4106,"
","
",_SP,"
"
4107,I,-PRON-,PRP,X
4108,mean,mean,VBP,xxxx
4109,weâ€,weâ€,NNP,xxx€
4110,™,™,CD,™
4111,re,re,IN,xx
4112,routing,route,VBG,xxxx
4113,our,-PRON-,PRP$,xxx
4114,productivity,productivity,NN,xxxx
4115,agenda,agenda,NN,xxxx
4116,in,in,IN,xx
4117,the,the,DT,xxx
4118,customer,customer,NN,xxxx
4119,"
","
",_SP,"
"
4120,It,-PRON-,PRP,Xx
4121,'s,be,VBZ,'x
4122,not,not,RB,xxx
4123,just,just,RB,xxxx
4124,taking,take,VBG,xxxx
4125,cost,cost,NN,xxxx
4126,out,out,RP,xxx
4127,",",",",",",","
4128,so,so,CC,xx
4129,weâ€,weâ€,NNP,xxx€
4130,™,™,CD,™
4131,re,re,NN,xx
4132,routing,route,VBG,xxxx
4133,in,in,IN,xx
4134,the,the,DT,xxx
4135,customer,customer,NN,xxxx
4136,"
","
",_SP,"
"
4137,And,and,CC,Xxx
4138,then,then,RB,xxxx
4139,weâ€,weâ€,NNP,xxx€
4140,™,™,CD,™
4141,ve,ve,NNP,xx
4142,done,do,VBN,xxxx
4143,a,a,DT,x
4144,very,very,RB,xxxx
4145,rigorous,rigorous,JJ,xxxx
4146,bottoms,bottom,NNS,xxxx
4147,up,up,IN,xx
4148,planning,planning,NN,xxxx
4149,exercise,exercise,NN,xxxx
4150,that,that,WDT,xxxx
4151,essentially,essentially,RB,xxxx
4152,phase,phase,NN,xxxx
4153,of,of,IN,xx
4154,the,the,DT,xxx
4155,productivity,productivity,NN,xxxx
4156,by,by,IN,xx
4157,year,year,NN,xxxx
4158,",",",",",",","
4159,by,by,IN,xx
4160,period,period,NN,xxxx
4161,",",",",",",","
4162,by,by,IN,xx
4163,geography,geography,NN,xxxx
4164,"
","
",_SP,"
"
4165,So,so,CC,Xx
4166,we,-PRON-,PRP,xx
4167,feel,feel,VBP,xxxx
4168,really,really,RB,xxxx
4169,good,good,JJ,xxxx
4170,about,about,IN,xxxx
4171,our,-PRON-,PRP$,xxx
4172,ability,ability,NN,xxxx
4173,to,to,TO,xx
4174,take,take,VB,xxxx
4175,the,the,DT,xxx
4176,cost,cost,NN,xxxx
4177,out,out,RP,xxx
4178,without,without,IN,xxxx
4179,disrupting,disrupt,VBG,xxxx
4180,the,the,DT,xxx
4181,customer,customer,NN,xxxx
4182,"
","
",_SP,"
"
4183,So,so,CC,Xx
4184,let,let,VB,xxx
4185,me,-PRON-,PRP,xx
4186,step,step,VB,xxxx
4187,back,back,RB,xxxx
4188,from,from,IN,xxxx
4189,this,this,DT,xxxx
4190,one,one,CD,xxx
4191,Seth,Seth,NNP,Xxxx
4192,and,and,CC,xxx
4193,provide,provide,VB,xxxx
4194,some,some,DT,xxxx
4195,context,context,NN,xxxx
4196,"
","
",_SP,"
"
4197,And,and,CC,Xxx
4198,our,-PRON-,PRP$,xxx
4199,approach,approach,NN,xxxx
4200,is,be,VBZ,xx
4201,to,to,TO,xx
4202,provide,provide,VB,xxxx
4203,guidance,guidance,NN,xxxx
4204,once,once,RB,xxxx
4205,a,a,DT,x
4206,year,year,NN,xxxx
4207,"
","
",_SP,"
"
4208,And,and,CC,Xxx
4209,consistent,consistent,JJ,xxxx
4210,with,with,IN,xxxx
4211,our,-PRON-,PRP$,xxx
4212,focus,focus,NN,xxxx
4213,on,on,IN,xx
4214,offering,offer,VBG,xxxx
4215,for,for,IN,xxx
4216,the,the,DT,xxx
4217,long,long,JJ,xxxx
4218,term,term,NN,xxxx
4219,",",",",",",","
4220,we,-PRON-,PRP,xx
4221,'re,be,VBP,'xx
4222,not,not,RB,xxx
4223,going,go,VBG,xxxx
4224,to,to,TO,xx
4225,provide,provide,VB,xxxx
4226,regular,regular,JJ,xxxx
4227,updates,update,NNS,xxxx
4228,as,as,IN,xx
4229,a,a,DT,x
4230,matter,matter,NN,xxxx
4231,of,of,IN,xx
4232,course,course,RB,xxxx
4233,"
","
",_SP,"
"
4234,The,the,DT,Xxx
4235,long,long,JJ,xxxx
4236,term,term,NN,xxxx
4237,outlook,outlook,NN,xxxx
4238,for,for,IN,xxx
4239,the,the,DT,xxx
4240,industry,industry,NN,xxxx
4241,remains,remain,VBZ,xxxx
4242,very,very,RB,xxxx
4243,",",",",",",","
4244,very,very,RB,xxxx
4245,compelling,compelling,JJ,xxxx
4246,for,for,IN,xxx
4247,us,-PRON-,PRP,xx
4248,and,and,CC,xxx
4249,we,-PRON-,PRP,xx
4250,remain,remain,VBP,xxxx
4251,focused,focused,JJ,xxxx
4252,on,on,IN,xx
4253,executing,execute,VBG,xxxx
4254,the,the,DT,xxx
4255,key,key,JJ,xxx
4256,elements,element,NNS,xxxx
4257,of,of,IN,xx
4258,our,-PRON-,PRP$,xxx
4259,transformation,transformation,NN,xxxx
4260,plan,plan,NN,xxxx
4261,"
","
",_SP,"
"
4262,With,with,IN,Xxxx
4263,respect,respect,NN,xxxx
4264,to,to,IN,xx
4265,2017,2017,CD,dddd
4266,",",",",",",","
4267,well,well,UH,xxxx
4268,Q1,Q1,NNP,Xd
4269,had,have,VBD,xxx
4270,a,a,DT,x
4271,weak,weak,JJ,xxxx
4272,patch,patch,NN,xxxx
4273,in,in,IN,xx
4274,the,the,DT,xxx
4275,middle,middle,NN,xxxx
4276,of,of,IN,xx
4277,quarter,quarter,NN,xxxx
4278,that,that,WDT,xxxx
4279,impacted,impact,VBD,xxxx
4280,the,the,DT,xxx
4281,entire,entire,JJ,xxxx
4282,industry,industry,NN,xxxx
4283,"
","
",_SP,"
"
4284,We,-PRON-,PRP,Xx
4285,'ve,have,VB,'xx
4286,actually,actually,RB,xxxx
4287,seen,see,VBN,xxxx
4288,improved,improve,VBN,xxxx
4289,trends,trend,NNS,xxxx
4290,over,over,IN,xxxx
4291,the,the,DT,xxx
4292,last,last,JJ,xxxx
4293,several,several,JJ,xxxx
4294,weeks,week,NNS,xxxx
4295,and,and,CC,xxx
4296,based,base,VBN,xxxx
4297,on,on,IN,xx
4298,this,this,DT,xxxx
4299,",",",",",",","
4300,we,-PRON-,PRP,xx
4301,expect,expect,VBP,xxxx
4302,a,a,DT,x
4303,more,more,RBR,xxxx
4304,normalized,normalized,JJ,xxxx
4305,environment,environment,NN,xxxx
4306,for,for,IN,xxx
4307,the,the,DT,xxx
4308,rest,rest,NN,xxxx
4309,of,of,IN,xx
4310,the,the,DT,xxx
4311,year,year,NN,xxxx
4312,"
","
",_SP,"
"
4313,And,and,CC,Xxx
4314,our,-PRON-,PRP$,xxx
4315,investments,investment,NNS,xxxx
4316,in,in,IN,xx
4317,the,the,DT,xxx
4318,customer,customer,NN,xxxx
4319,are,be,VBP,xxx
4320,clearly,clearly,RB,xxxx
4321,having,have,VBG,xxxx
4322,an,an,DT,xx
4323,impact,impact,NN,xxxx
4324,and,and,CC,xxx
4325,with,with,IN,xxxx
4326,our,-PRON-,PRP$,xxx
4327,productivity,productivity,NN,xxxx
4328,initiatives,initiative,NNS,xxxx
4329,kicking,kick,VBG,xxxx
4330,in,in,IN,xx
4331,the,the,DT,xxx
4332,back,back,JJ,xxxx
4333,half,half,NN,xxxx
4334,of,of,IN,xx
4335,the,the,DT,xxx
4336,year,year,NN,xxxx
4337,",",",",",",","
4338,we,-PRON-,PRP,xx
4339,feel,feel,VBP,xxxx
4340,all,all,DT,xxx
4341,of,of,IN,xx
4342,this,this,DT,xxxx
4343,will,will,MD,xxxx
4344,drive,drive,VB,xxxx
4345,significantly,significantly,RB,xxxx
4346,improved,improve,VBN,xxxx
4347,results,result,NNS,xxxx
4348,"
","
",_SP,"
"
4349,Sigman,Sigman,NNP,Xxxxx
4350,And,and,CC,Xxx
4351,then,then,RB,xxxx
4352,as,as,IN,xx
4353,you,-PRON-,PRP,xxx
4354,think,think,VBP,xxxx
4355,about,about,IN,xxxx
4356,those,those,DT,xxxx
4357,long,long,JJ,xxxx
4358,-,-,HYPH,-
4359,term,term,NN,xxxx
4360,productivity,productivity,NN,xxxx
4361,targets,target,NNS,xxxx
4362,that,that,WDT,xxxx
4363,you,-PRON-,PRP,xxx
4364,updated,update,VBD,xxxx
4365,today,today,NN,xxxx
4366,",",",",",",","
4367,does,do,VBZ,xxxx
4368,the,the,DT,xxx
4369,timing,timing,NN,xxxx
4370,change,change,NN,xxxx
4371,at,at,RB,xx
4372,all,all,RB,xxx
4373,",",",",",",","
4374,so,so,RB,xx
4375,you,-PRON-,PRP,xxx
4376,shorten,shorten,VBP,xxxx
4377,the,the,DT,xxx
4378,timeframe,timeframe,NN,xxxx
4379,"
","
",_SP,"
"
4380,Does,do,VBZ,Xxxx
4381,that,that,DT,xxxx
4382,impact,impact,NN,xxxx
4383,2017,2017,CD,dddd
4384,or,or,CC,xx
4385,more,more,JJR,xxxx
4386,of,of,IN,xx
4387,the,the,DT,xxx
4388,incremental,incremental,JJ,xxxx
4389,savings,saving,NNS,xxxx
4390,in,in,IN,xx
4391,â€,â€,CD,x€
4392,™,™,CD,™
4393,18,18,CD,dd
4394,and,and,CC,xxx
4395,beyond,beyond,IN,xxxx
4396,?,?,.,?
4397,"
","
",_SP,"
"
4398,Well,well,UH,Xxxx
4399,",",",",",",","
4400,first,first,RB,xxxx
4401,of,of,IN,xx
4402,all,all,DT,xxx
4403,",",",",",",","
4404,Scot,Scot,NNP,Xxxx
4405,",",",",",",","
4406,we,-PRON-,PRP,xx
4407,really,really,RB,xxxx
4408,excited,excite,VBD,xxxx
4409,about,about,IN,xxxx
4410,this,this,DT,xxxx
4411,productivity,productivity,NN,xxxx
4412,agenda,agenda,NN,xxxx
4413,"
","
",_SP,"
"
4414,I,-PRON-,PRP,X
4415,ca,can,MD,xx
4416,n't,not,RB,x'x
4417,tell,tell,VB,xxxx
4418,you,-PRON-,PRP,xxx
4419,how,how,WRB,xxx
4420,excited,excited,JJ,xxxx
4421,we,-PRON-,PRP,xx
4422,are,be,VBP,xxx
4423,",",",",",",","
4424,it,-PRON-,PRP,xx
4425,'s,be,VBZ,'x
4426,been,be,VBN,xxxx
4427,nine,nine,CD,xxxx
4428,months,month,NNS,xxxx
4429,in,in,IN,xx
4430,the,the,DT,xxx
4431,making,making,NN,xxxx
4432,"
","
",_SP,"
"
4433,Obviously,obviously,RB,Xxxxx
4434,",",",",",",","
4435,weâ€,weâ€,NNP,xxx€
4436,™,™,CD,™
4437,ve,ve,NNP,xx
4438,been,be,VBN,xxxx
4439,working,work,VBG,xxxx
4440,on,on,RP,xx
4441,with,with,IN,xxxx
4442,our,-PRON-,PRP$,xxx
4443,entire,entire,JJ,xxxx
4444,team,team,NN,xxxx
4445,"
","
",_SP,"
"
4446,As,as,IN,Xx
4447,Tom,Tom,NNP,Xxx
4448,came,come,VBD,xxxx
4449,in,in,IN,xx
4450,November,November,NNP,Xxxxx
4451,",",",",",",","
4452,he,-PRON-,PRP,xx
4453,really,really,RB,xxxx
4454,brought,bring,VBD,xxxx
4455,a,a,DT,x
4456,dimension,dimension,NN,xxxx
4457,to,to,IN,xx
4458,how,how,WRB,xxx
4459,we,-PRON-,PRP,xx
4460,were,be,VBD,xxxx
4461,thinking,think,VBG,xxxx
4462,about,about,IN,xxxx
4463,that,that,IN,xxxx
4464,we,-PRON-,PRP,xx
4465,started,start,VBD,xxxx
4466,to,to,TO,xx
4467,accelerate,accelerate,VB,xxxx
4468,things,thing,NNS,xxxx
4469,that,that,WDT,xxxx
4470,hadnâ€,hadnâ€,NNP,xxxx€
4471,™,™,CD,™
4472,t,t,NNP,x
4473,been,be,VBN,xxxx
4474,accelerated,accelerate,VBN,xxxx
4475,"
","
",_SP,"
"
4476,We,-PRON-,PRP,Xx
4477,brought,bring,VBD,xxxx
4478,Leslie,Leslie,NNP,Xxxxx
4479,Keating,Keating,NNP,Xxxxx
4480,in,in,IN,xx
4481,who,who,WP,xxx
4482,is,be,VBZ,xx
4483,a,a,DT,x
4484,terrific,terrific,JJ,xxxx
4485,executive,executive,NN,xxxx
4486,",",",",",",","
4487,track,track,NN,xxxx
4488,record,record,NN,xxxx
4489,of,of,IN,xx
4490,success,success,NN,xxxx
4491,with,with,IN,xxxx
4492,productivity,productivity,NN,xxxx
4493,Mike,Mike,NNP,Xxxx
4494,Roderick,Roderick,NNP,Xxxxx
4495,with,with,IN,xxxx
4496,significant,significant,JJ,xxxx
4497,experience,experience,NN,xxxx
4498,interacting,interact,VBG,xxxx
4499,with,with,IN,xxxx
4500,the,the,DT,xxx
4501,supplier,supplier,NN,xxxx
4502,community,community,NN,xxxx
4503,being,be,VBG,xxxx
4504,both,both,DT,xxxx
4505,on,on,IN,xx
4506,the,the,DT,xxx
4507,supplier,supplier,NN,xxxx
4508,side,side,NN,xxxx
4509,and,and,CC,xxx
4510,working,work,VBG,xxxx
4511,on,on,IN,xx
4512,the,the,DT,xxx
4513,part,part,NN,xxxx
4514,side,side,NN,xxxx
4515,of,of,IN,xx
4516,the,the,DT,xxx
4517,business,business,NN,xxxx
4518,"
","
",_SP,"
"
4519,So,so,RB,Xx
4520,the,the,DT,xxx
4521,construction,construction,NN,xxxx
4522,of,of,IN,xx
4523,the,the,DT,xxx
4524,productivity,productivity,NN,xxxx
4525,agenda,agenda,NN,xxxx
4526,is,be,VBZ,xx
4527,something,something,NN,xxxx
4528,that,that,WDT,xxxx
4529,weâ€,weâ€,NNP,xxx€
4530,™,™,CD,™
4531,re,re,IN,xx
4532,very,very,RB,xxxx
4533,",",",",",",","
4534,very,very,RB,xxxx
4535,excited,excited,JJ,xxxx
4536,about,about,IN,xxxx
4537,"
","
",_SP,"
"
4538,As,as,IN,Xx
4539,we,-PRON-,PRP,xx
4540,look,look,VBP,xxxx
4541,forward,forward,RB,xxxx
4542,weâ€,weâ€,NNP,xxx€
4543,™,™,CD,™
4544,re,re,IN,xx
4545,going,go,VBG,xxxx
4546,to,to,TO,xx
4547,continue,continue,VB,xxxx
4548,to,to,TO,xx
4549,look,look,VB,xxxx
4550,at,at,IN,xx
4551,ways,way,NNS,xxxx
4552,to,to,TO,xx
4553,be,be,VB,xx
4554,ahead,ahead,RB,xxxx
4555,of,of,IN,xx
4556,where,where,WRB,xxxx
4557,the,the,DT,xxx
4558,customers,customer,NNS,xxxx
4559,going,go,VBG,xxxx
4560,"
","
",_SP,"
"
4561,Obviously,obviously,RB,Xxxxx
4562,",",",",",",","
4563,we,-PRON-,PRP,xx
4564,want,want,VBP,xxxx
4565,to,to,TO,xx
4566,go,go,VB,xx
4567,over,over,IN,xxxx
4568,the,the,DT,xxx
4569,path,path,NN,xxxx
4570,is,be,VBZ,xx
4571,moving,move,VBG,xxxx
4572,and,and,CC,xxx
4573,to,to,IN,xx
4574,that,that,DT,xxxx
4575,end,end,NN,xxx
4576,we,-PRON-,PRP,xx
4577,are,be,VBP,xxx
4578,going,go,VBG,xxxx
4579,to,to,TO,xx
4580,continue,continue,VB,xxxx
4581,to,to,TO,xx
4582,look,look,VB,xxxx
4583,places,place,NNS,xxxx
4584,to,to,TO,xx
4585,invest,invest,VB,xxxx
4586,to,to,TO,xx
4587,sustain,sustain,VB,xxxx
4588,long,long,JJ,xxxx
4589,term,term,NN,xxxx
4590,growth,growth,NN,xxxx
4591,"
","
",_SP,"
"
4592,What,what,WP,Xxxx
4593,we,-PRON-,PRP,xx
4594,showed,show,VBD,xxxx
4595,in,in,IN,xx
4596,November,November,NNP,Xxxxx
4597,was,be,VBD,xxx
4598,our,-PRON-,PRP$,xxx
4599,goal,goal,NN,xxxx
4600,is,be,VBZ,xx
4601,to,to,TO,xx
4602,perform,perform,VB,xxxx
4603,above,above,IN,xxxx
4604,the,the,DT,xxx
4605,industry,industry,NN,xxxx
4606,average,average,JJ,xxxx
4607,in,in,IN,xx
4608,terms,term,NNS,xxxx
4609,of,of,IN,xx
4610,sales,sale,NNS,xxxx
4611,growth,growth,NN,xxxx
4612,and,and,CC,xxx
4613,to,to,TO,xx
4614,expand,expand,VB,xxxx
4615,margin,margin,NN,xxxx
4616,significantly,significantly,RB,xxxx
4617,from,from,IN,xxxx
4618,where,where,WRB,xxxx
4619,they,-PRON-,PRP,xxxx
4620,are,be,VBP,xxx
4621,today,today,NN,xxxx
4622,",",",",",",","
4623,that,that,WDT,xxxx
4624,stands,stand,VBZ,xxxx
4625,as,as,IN,xx
4626,we,-PRON-,PRP,xx
4627,sit,sit,VBP,xxx
4628,here,here,RB,xxxx
4629,today,today,NN,xxxx
4630,"
","
",_SP,"
"
4631,Weâ€,weâ€,NN,Xxx€
4632,™,™,CD,™
4633,re,re,IN,xx
4634,not,not,RB,xxx
4635,going,go,VBG,xxxx
4636,to,to,TO,xx
4637,update,update,VB,xxxx
4638,exactly,exactly,RB,xxxx
4639,how,how,WRB,xxx
4640,thatâ€,thatâ€,NNP,xxxx€
4641,™,™,CD,™
4642,s,s,NNP,x
4643,going,go,VBG,xxxx
4644,to,to,TO,xx
4645,play,play,VB,xxxx
4646,out,out,RP,xxx
4647,in,in,IN,xx
4648,the,the,DT,xxx
4649,next,next,JJ,xxxx
4650,12,12,CD,dd
4651,months,month,NNS,xxxx
4652,",",",",",",","
4653,but,but,CC,xxx
4654,we,-PRON-,PRP,xx
4655,should,should,MD,xxxx
4656,be,be,VB,xx
4657,able,able,JJ,xxxx
4658,to,to,TO,xx
4659,update,update,VB,xxxx
4660,you,-PRON-,PRP,xxx
4661,towards,towards,IN,xxxx
4662,the,the,DT,xxx
4663,end,end,NN,xxx
4664,of,of,IN,xx
4665,the,the,DT,xxx
4666,year,year,NN,xxxx
4667,and,and,CC,xxx
4668,how,how,WRB,xxx
4669,that,that,DT,xxxx
4670,will,will,MD,xxxx
4671,in,in,IN,xx
4672,fall,fall,NN,xxxx
4673,"
","
",_SP,"
"
4674,But,but,CC,Xxx
4675,the,the,DT,xxx
4676,750,750,CD,ddd
4677,million,million,CD,xxxx
4678,obviously,obviously,RB,xxxx
4679,is,be,VBZ,xx
4680,a,a,DT,x
4681,four,four,CD,xxxx
4682,year,year,NN,xxxx
4683,number,number,NN,xxxx
4684,now,now,RB,xxx
4685,",",",",",",","
4686,so,so,RB,xx
4687,we,-PRON-,PRP,xx
4688,are,be,VBP,xxx
4689,in,in,IN,xx
4690,',',CD,'
4691,17,17,CD,dd
4692,",",",",",",","
4693,so,so,RB,xx
4694,',',``,'
4695,17,17,CD,dd
4696,",",",",",",","
4697,',','','
4698,18,18,CD,dd
4699,",",",",",",","
4700,',','','
4701,19,19,CD,dd
4702,",",",",",",","
4703,',','','
4704,20,20,CD,dd
4705,is,be,VBZ,xx
4706,the,the,DT,xxx
4707,timeframe,timeframe,NN,xxxx
4708,for,for,IN,xxx
4709,the,the,DT,xxx
4710,750,750,CD,ddd
4711,million,million,CD,xxxx
4712,"
","
",_SP,"
"
4713,Well,well,UH,Xxxx
4714,Mike,Mike,NNP,Xxxx
4715,",",",",",",","
4716,I,-PRON-,PRP,X
4717,certainly,certainly,RB,xxxx
4718,understand,understand,VBP,xxxx
4719,the,the,DT,xxx
4720,question,question,NN,xxxx
4721,"
","
",_SP,"
"
4722,I,-PRON-,PRP,X
4723,am,be,VBP,xx
4724,go,go,VB,xx
4725,back,back,RB,xxxx
4726,to,to,IN,xx
4727,as,as,IN,xx
4728,we,-PRON-,PRP,xx
4729,planned,plan,VBD,xxxx
4730,the,the,DT,xxx
4731,business,business,NN,xxxx
4732,for,for,IN,xxx
4733,2017,2017,CD,dddd
4734,",",",",",",","
4735,knowing,know,VBG,xxxx
4736,what,what,WP,xxxx
4737,we,-PRON-,PRP,xx
4738,knew,know,VBD,xxxx
4739,in,in,IN,xx
4740,November,November,NNP,Xxxxx
4741,",",",",",",","
4742,which,which,WDT,xxxx
4743,was,be,VBD,xxx
4744,the,the,DT,xxx
4745,challenging,challenging,JJ,xxxx
4746,situation,situation,NN,xxxx
4747,we,-PRON-,PRP,xx
4748,were,be,VBD,xxxx
4749,dealing,deal,VBG,xxxx
4750,within,within,IN,xxxx
4751,the,the,DT,xxx
4752,front,front,JJ,xxxx
4753,half,half,NN,xxxx
4754,of,of,IN,xx
4755,the,the,DT,xxx
4756,year,year,NN,xxxx
4757,",",",",",",","
4758,reducing,reduce,VBG,xxxx
4759,customer,customer,NN,xxxx
4760,facing,facing,NN,xxxx
4761,hours,hour,NNS,xxxx
4762,",",",",",",","
4763,really,really,RB,xxxx
4764,an,an,DT,xx
4765,inability,inability,NN,xxxx
4766,to,to,TO,xx
4767,execute,execute,VB,xxxx
4768,"
","
",_SP,"
"
4769,Weâ€,Weâ€,NNP,Xxx€
4770,™,™,CD,™
4771,re,re,IN,xx
4772,still,still,RB,xxxx
4773,billing,bill,VBG,xxxx
4774,out,out,RP,xxx
4775,that,that,IN,xxxx
4776,productivity,productivity,NN,xxxx
4777,muscle,muscle,NN,xxxx
4778,",",",",",",","
4779,some,some,DT,xxxx
4780,gaps,gap,NNS,xxxx
4781,on,on,IN,xx
4782,the,the,DT,xxx
4783,leadership,leadership,NN,xxxx
4784,team,team,NN,xxxx
4785,at,at,IN,xx
4786,the,the,DT,xxx
4787,time,time,NN,xxxx
4788,"
","
",_SP,"
"
4789,We,-PRON-,PRP,Xx
